,cross_val_acc,training_acc,test_acc,train_size,solver,learning_rate_init,max_iter,momentum,hidden_layer_sizes
2764,0.4468153008930811,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.7,"(13, 13)"
2765,0.45741226581552585,0.4574095682613769,0.42857142857142855,3428,sgd,1.0,50,0.7,"(13, 13, 13)"
2766,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,sgd,1.0,50,0.7,"(13, 13, 13)"
2767,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,sgd,1.0,50,0.7,"(13, 13, 13)"
2768,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.7,"(13, 13, 13)"
2769,0.4468153008930811,0.4467153284671533,0.427891156462585,685,sgd,1.0,50,0.7,"(13, 13, 13)"
2770,0.45741226581552585,0.4574095682613769,0.42857142857142855,3428,sgd,1.0,50,0.7,"(130, 130, 130)"
2771,0.4529564363389279,0.0036469730123997084,0.42857142857142855,2742,sgd,1.0,50,0.7,"(130, 130, 130)"
2772,0.44893788289348463,0.4489299610894942,0.42857142857142855,2056,sgd,1.0,50,0.7,"(130, 130, 130)"
2773,0.44787156482808654,0.44784828592268416,0.42857142857142855,1371,sgd,1.0,50,0.7,"(130, 130, 130)"
2774,0.34348160441198294,0.4467153284671533,0.42857142857142855,685,sgd,1.0,50,0.7,"(130, 130, 130)"
2775,0.0940375761925201,0.0032088681446907816,0.006122448979591836,3428,sgd,1.0,50,0.7,"(130, 130, 130, 130)"
2776,0.003647014706199661,0.0036469730123997084,0.006122448979591836,2742,sgd,1.0,50,0.7,"(130, 130, 130, 130)"
2777,0.0911066765141186,0.0029182879377431907,0.42857142857142855,2056,sgd,1.0,50,0.7,"(130, 130, 130, 130)"
2778,0.09327688414644936,0.0029175784099197666,0.006122448979591836,1371,sgd,1.0,50,0.7,"(130, 130, 130, 130)"
2779,0.2695291444893738,0.4467153284671533,0.006122448979591836,685,sgd,1.0,50,0.7,"(130, 130, 130, 130)"
2780,0.45741226581552585,0.4574095682613769,0.42857142857142855,3428,sgd,1.0,50,0.9,"(13, 13)"
2781,0.4529564363389279,0.45295404814004375,0.42857142857142855,2742,sgd,1.0,50,0.9,"(13, 13)"
